dataset,alpha,experiment,volume_levelset,volume_likelihood,volume_one,volume_ot,coverage_levelset,coverage_likelihood,coverage_one,coverage_ot,ERT_levelset,ERT_likelihood,ERT_one,ERT_ot,WSC_levelset,WSC_likelihood,WSC_one,WSC_ot
house,0.05,1,1.3367919,1.3247395,1.592799,1.900962228559311,0.950508788159112,0.9500462534690102,0.9477335800185014,0.952358926919519,0.0152625989094637,0.016872812830375,0.0259490253679889,0.0133200807635038,0.7964601516723633,0.7964601516723633,0.752293586730957,0.7747747898101807
house,0.05,9,2.176914,2.1326778,3.0507302,3.664852879630162,0.9569842738205364,0.9555966697502312,0.9565217391304348,0.9555966697502312,0.0176230706069938,0.0148938347836034,0.0327856956808655,0.0372788955444205,0.8046875,0.8141592741012573,0.78899085521698,0.7964601516723633
house,0.05,0,2.826336,2.6944337,3.9702775,4.273514816449521,0.952358926919519,0.952358926919519,0.9565217391304348,0.9551341350601296,0.0162747013750888,0.013547177483921,0.0413041073228925,0.0320563950768111,0.8165137767791748,0.8256880640983582,0.78899085521698,0.8245614171028137
house,0.1,7,2.4389136,2.4455504,3.5933497,3.557803297912998,0.8806660499537465,0.8802035152636448,0.9014801110083256,0.8885291396854764,0.0341506220474896,0.0608850823880547,0.0705857163950126,0.0838989440320178,0.764976978302002,0.7168949842453003,0.7260273694992065,0.7181817889213562
biais,0.1,8,1.172624,1.1468605,1.2050327,1.438311727158043,0.9175257731958762,0.913659793814433,0.9085051546391752,0.9085051546391752,0.0342564221173894,0.0324632056889403,0.0610587355615286,0.049953688042927,0.7435897588729858,0.7435897588729858,0.7179487347602844,0.7160493731498718
house,0.05,7,3.037036,2.9606917,4.4078445,4.4862612465935126,0.9412580943570767,0.9338575393154488,0.950508788159112,0.9361702127659576,0.0176725672315301,0.0187847460407807,0.0393161465767645,0.0423616483138407,0.7798165082931519,0.7614678740501404,0.7339449524879456,0.7387387156486511
casp,0.1,9,1.4341307,1.4482518,1.7004645,1.7586522642523896,0.9011805859204196,0.9033668561434192,0.9046786182772192,0.9027109750765194,0.0130311041180142,0.0200281334259738,0.0492779569405427,0.0372086504010847,0.8311966061592102,0.8056768774986267,0.8030303120613098,0.7943723201751709
casp,0.1,7,2.3317802,2.3278253,2.5667388,2.511837548524632,0.9031482291211194,0.9077393965894184,0.9055531263664188,0.9033668561434192,0.0340610585437524,0.0304785170629635,0.0498927995098116,0.0472221143492779,0.8013100624084473,0.8384279608726501,0.8253275156021118,0.7903563976287842
casp,0.1,8,1.701638,1.6978905,1.9757627,1.9603388025412585,0.8987756886751203,0.8954962833406209,0.9038041101880192,0.8994315697420201,0.0066012875069714,0.0281130235535635,0.052467778927727,0.0508906555371919,0.8354978561401367,0.8242949843406677,0.8084210753440857,0.79347825050354
scm1d,0.1,5,4.5347085,4.228928,4.962426,5.616955606766726,0.890927624872579,0.8756371049949032,0.890927624872579,0.924566768603466,-0.0007251669801628,0.0604599633785426,0.094535386277075,0.048639815604268,0.747474730014801,0.6666666865348816,0.6666666865348816,0.7878788113594055
scm1d,0.1,1,4.751319,4.5652404,5.1252065,5.624015919503706,0.9215086646279308,0.9143730886850152,0.90927624872579,0.9194699286442406,0.0345592182287462,0.0659411734278975,0.0696270723867994,0.0580089227332977,0.7777777910232544,0.6759259104728699,0.6513761281967163,0.7400000095367432
casp,0.05,9,1.8484406,1.8225001,2.1936007,2.407653076439132,0.9527765631832096,0.9508089199825098,0.9525579361609094,0.9558373414954088,0.0077835772257049,0.0055330467970756,0.0255346520712131,0.0193042362932937,0.8803418874740601,0.8808510899543762,0.847161591053009,0.8558952212333679
