dataset,experiment,alpha,volume_levelset,volume_one,volume_ot,volume_MVCS,coverage_levelset,coverage_one,coverage_ot,coverage_MVCS,ERT_levelset,ERT_one,ERT_ot,ERT_MVCS,WSC_levelset,WSC_one,WSC_ot,WSC_MVCS,time_levelset,time_one,time_ot,time_MVCS,volume_HDR,coverage_HDR,ERT_HDR,WSC_HDR,time_HDR
house,2,0.1,1.0024817,1.2098763,1.2353205714986188,1.1958152055740356,0.8889916743755781,0.8862164662349676,0.8820536540240518,0.8843663334846497,0.0470930647831172,0.0909225089674825,0.0910227985994798,0.0987069171890406,0.7181817889213562,0.7018348574638367,0.7117117047309875,0.6508620977401733,0.0244019031524658,0.0077121257781982,0.3295817375183105,0.1133894920349121,1.1098809242248535,0.9019426703453064,0.0116564049221942,0.8110598921775818,1899.4867737293243
house,1,0.1,1.0458812,1.2754116,1.3713112029306855,1.151689052581787,0.9130434782608696,0.9176688251618872,0.9167437557816835,0.9070305228233336,0.0284943678214688,0.0569848710895553,0.0649365017836949,0.0667043114106676,0.7972350120544434,0.764976978302002,0.7623318433761597,0.7692307829856873,0.025158405303955,0.009037971496582,0.5005385875701904,0.1171135902404785,1.1839945316314695,0.9047178626060486,0.0178560504563788,0.8036529421806335,818.7965450286865
house,7,0.1,0.97923267,1.197214,1.1826431932911718,1.1494206190109253,0.8982423681776133,0.8996299722479186,0.8950046253469011,0.9093431830406188,0.0183243568750537,0.0640101434327244,0.0610512424994856,0.0640095053336728,0.7834101319313049,0.6912442445755005,0.6912442445755005,0.7327188849449158,0.0231735706329345,0.0071868896484375,0.4205493927001953,0.1462938785552978,1.186299204826355,0.9185938835144044,0.0356244239613596,0.8377193212509155,1875.5788791179657
house,3,0.1,1.0051612,1.2437767,1.2810362869292835,1.1760014295578003,0.910268270120259,0.912118408880666,0.9061054579093432,0.9153561592102052,0.0299683579865477,0.0666104376313521,0.0628092215669623,0.0649401371676442,0.7972350120544434,0.7045454382896423,0.7090908885002136,0.6968325972557068,0.0185914039611816,0.0083100795745849,0.5080294609069824,0.150447130203247,1.1595616340637207,0.912118434906006,0.0206398223606516,0.8054298758506775,1769.9285244941711
house,8,0.1,1.0140048,1.1880168,1.2225146558386262,1.1426955461502075,0.8945420906567992,0.8926919518963923,0.8829787234042553,0.8959296941757202,0.0276479779373905,0.0582888593069859,0.0596698330383428,0.0652241095259419,0.7873303294181824,0.6803653240203857,0.6756756901741028,0.730434775352478,0.0205304622650146,0.0063338279724121,0.480677843093872,0.1572310924530029,1.140986680984497,0.8880665898323059,0.0331214154944857,0.7945205569267273,1797.4062654972076
house,4,0.1,0.9995549,1.18511,1.2191635018805422,1.146250605583191,0.910268270120259,0.900555041628122,0.8996299722479186,0.9010175466537476,0.0319046791916621,0.0587407056914252,0.0638371459652223,0.0680855036113252,0.7946428656578064,0.7363636493682861,0.7235022783279419,0.7142857313156128,0.1915540695190429,0.0078403949737548,0.4643573760986328,0.1655349731445312,1.1814779043197632,0.9084181189537048,0.0364449224781718,0.7972350120544434,1797.500016450882
house,0,0.1,0.9516613,1.1655483,1.2465378026268146,1.131356120109558,0.8839037927844589,0.8950046253469011,0.908418131359852,0.9000924825668335,0.0248843097177443,0.0573635763339822,0.0629097254774281,0.0580162158203883,0.7366071343421936,0.7327188849449158,0.7373272180557251,0.7256637215614319,0.0209417343139648,0.0070381164550781,0.4666502475738525,0.1635785102844238,1.086840033531189,0.8913043737411499,0.0219241290552949,0.782608687877655,808.216498374939
house,6,0.1,0.9702733,1.20366,1.15828972424719,1.0287301540374756,0.9014801110083256,0.9074930619796484,0.9014801110083256,0.8977798223495483,0.0299762714911991,0.0779775140541122,0.0735418352074032,0.0715924713247275,0.7834101319313049,0.6995515823364258,0.699999988079071,0.6696832776069641,0.0182280540466308,0.0091094970703125,0.5301840305328369,0.1522562503814697,1.1757159233093262,0.909805715084076,0.0321901549329689,0.8018433451652527,1930.864317655564
house,5,0.1,1.0535523,1.2479006,1.2749960759420411,1.1707072257995603,0.8926919518963923,0.8862164662349676,0.8889916743755781,0.8843663334846497,0.0341363042725559,0.0683773887013667,0.0633797412901191,0.0771516602804699,0.7373272180557251,0.6991150379180908,0.6912442445755005,0.6682027578353882,0.0282351970672607,0.0102994441986083,0.5877151489257812,0.1856343746185302,1.1059967279434204,0.8959296941757202,0.0123950031361744,0.8064516186714172,1877.3974628448489
house,2,0.05,1.2156651,1.6271298,1.7610620961286114,1.4083800315856934,0.942645698427382,0.9486586493987048,0.946345975948196,0.9463459849357604,0.0332565659703165,0.0410738009130023,0.0418169997733832,0.0395053924437758,0.7706422209739685,0.752293586730957,0.752293586730957,0.7586206793785095,0.0185503959655761,0.0080006122589111,0.3258731365203857,0.1120755672454834,1.3908435106277466,0.9495837092399596,0.0138790550190433,0.8256880640983582,917.9174592494963
