dataset,experiment,alpha,coverage_nan,coverage_full
taxi,8,0.1,0.9068515497553018,0.899021207177814
taxi,9,0.1,0.903915171288744,0.8862969004893965
scm1d,0,0.1,0.8888888888888888,0.8032619775739042
scm1d,0,0.05,0.9367991845056064,0.872579001019368
scm1d,2,0.1,0.9021406727828746,0.8012232415902141
scm1d,2,0.05,0.9429153924566768,0.8654434250764526
scm1d,1,0.1,0.9062181447502548,0.817533129459735
scm1d,1,0.05,0.9541284403669724,0.9031600407747196
scm20d,3,0.1,0.9120267260579064,0.844097995545657
scm20d,3,0.05,0.9587973273942092,0.900890868596882
scm1d,5,0.1,0.8980632008154944,0.8277268093781855
scm1d,5,0.05,0.9602446483180428,0.91131498470948
scm1d,7,0.1,0.8970438328236493,0.799184505606524
scm1d,7,0.05,0.9469928644240572,0.8705402650356778
scm20d,4,0.1,0.9086859688195992,0.8518930957683741
scm20d,4,0.05,0.9510022271714922,0.9131403118040088
scm20d,5,0.1,0.9120267260579064,0.8318485523385301
scm20d,5,0.05,0.9521158129175946,0.8930957683741648
scm20d,1,0.1,0.876391982182628,0.7828507795100222
scm20d,1,0.05,0.9365256124721604,0.8853006681514477
scm20d,0,0.1,0.8997772828507795,0.8028953229398663
scm20d,0,0.05,0.9476614699331848,0.8875278396436526
scm1d,8,0.1,0.8970438328236493,0.8012232415902141
scm1d,8,0.05,0.9500509683995922,0.9001019367991845
scm1d,9,0.1,0.8970438328236493,0.8216106014271152
scm1d,9,0.05,0.9490316004077471,0.8950050968399592
scm1d,4,0.1,0.910295616717635,0.8430173292558614
scm1d,3,0.1,0.9041794087665648,0.8409785932721713
scm1d,4,0.05,0.9561671763506626,0.91131498470948
scm1d,3,0.05,0.944954128440367,0.9041794087665648
scm1d,6,0.1,0.8858307849133538,0.7737003058103975
scm1d,6,0.05,0.9357798165137616,0.8674821610601428
scm20d,2,0.1,0.8853006681514477,0.8073496659242761
scm20d,2,0.05,0.9465478841870824,0.9031180400890868
scm20d,6,0.1,0.9086859688195992,0.8184855233853007
scm20d,6,0.05,0.9498886414253898,0.888641425389755
scm20d,7,0.1,0.8897550111358574,0.8028953229398663
scm20d,7,0.05,0.9443207126948776,0.888641425389755
scm20d,8,0.1,0.9042316258351892,0.7962138084632516
scm20d,8,0.05,0.9365256124721604,0.8541202672605791
scm20d,9,0.1,0.8964365256124721,0.8051224944320713
scm20d,9,0.05,0.9487750556792872,0.8674832962138085
rf1,0,0.1,0.9223194748358862,0.9026258205689278
rf1,0,0.05,0.9606126914660832,0.949671772428884
rf1,1,0.1,0.901531728665208,0.8632385120350109
rf1,1,0.05,0.9529540481400438,0.9157549234135668
rf1,2,0.1,0.9026258205689278,0.8971553610503282
rf1,2,0.05,0.9540481400437636,0.9310722100656456
rf1,3,0.1,0.9343544857768052,0.9212253829321664
rf1,3,0.05,0.973741794310722,0.949671772428884
rf1,4,0.1,0.901531728665208,0.8763676148796499
rf1,4,0.05,0.9463894967177244,0.9223194748358862
rf1,5,0.1,0.8971553610503282,0.8676148796498906
rf1,5,0.05,0.9573304157549234,0.9277899343544858
rf1,6,0.1,0.8916849015317286,0.8862144420131292
rf1,6,0.05,0.9529540481400438,0.9354485776805253
rf2,2,0.1,0.912472647702407,0.87527352297593
